iter	Passed	Remaining
0	1	261
1	2	225
2	3	215
3	4	216
4	5	216
5	6	212
6	7	208
7	8	204
8	9	208
9	10	207
10	11	204
11	12	202
12	13	200
13	15	200
14	16	198
15	17	198
16	18	197
17	19	196
18	20	195
19	21	194
20	22	195
21	23	193
22	24	192
23	26	190
24	27	191
25	28	189
26	29	189
27	30	188
28	31	187
29	32	186
30	33	184
31	34	183
32	35	181
33	36	180
34	37	178
35	38	177
36	40	177
37	41	176
38	42	177
39	44	176
40	45	175
41	46	173
42	47	172
43	48	171
44	49	169
45	50	169
46	51	167
47	52	166
48	53	165
49	54	164
50	55	163
51	57	162
52	58	161
53	59	160
54	60	160
55	62	159
56	63	160
57	65	159
58	66	158
59	67	157
60	68	156
61	69	154
62	70	153
63	71	151
64	72	150
65	73	149
66	74	148
67	75	147
68	76	145
69	77	144
70	78	143
71	79	142
72	80	140
73	81	139
74	82	138
75	83	137
76	85	136
77	86	134
78	87	133
79	88	132
80	89	131
81	90	130
82	91	128
83	92	127
84	93	126
85	94	125
86	95	124
87	96	122
88	97	121
89	98	120
90	99	119
91	100	118
92	101	117
93	102	115
94	103	114
95	104	113
96	105	112
97	106	111
98	108	110
99	109	109
100	110	107
101	111	106
102	111	105
103	112	104
104	113	103
105	114	101
106	115	100
107	117	99
108	118	98
109	119	97
110	120	96
111	121	95
112	122	94
113	123	93
114	124	91
115	125	91
116	126	90
117	127	88
118	128	87
119	129	86
120	131	85
121	132	84
122	133	83
123	134	82
124	135	81
125	136	80
126	137	79
127	139	78
128	140	77
129	141	76
130	142	74
131	143	73
132	144	72
133	145	71
134	146	70
135	147	69
136	148	68
137	149	67
138	150	66
139	151	64
140	152	63
141	153	62
142	154	61
143	155	60
144	156	59
145	157	58
146	158	57
147	159	56
148	160	55
149	161	53
150	162	52
151	164	51
152	165	50
153	166	49
154	167	48
155	168	47
156	169	46
157	170	45
158	171	44
159	172	43
160	173	42
161	174	41
162	175	39
163	176	38
164	177	37
165	178	36
166	179	35
167	180	34
168	182	33
169	183	32
170	184	31
171	185	30
172	186	29
173	187	27
174	188	26
175	189	25
176	190	24
177	191	23
178	192	22
179	193	21
180	195	20
181	196	19
182	197	18
183	198	17
184	199	16
185	200	15
186	201	14
187	202	12
188	203	11
189	204	10
190	205	9
191	206	8
192	207	7
193	208	6
194	209	5
195	210	4
196	211	3
197	212	2
198	213	1
199	215	0
